C,filename,url,atom_count,valid,reason,bytes,sha256
42,C42-C2-28.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-28.xyz,42,1,OK,2566,66706d0b9c5c2766aace3d8aea6a07d12e624fe5254e0c2bc59d5ae65d69d185
42,C42-C2-31.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-31.xyz,42,1,OK,2566,4eb402d58aaeb789d408a4ff0f16e2aa96394412b53f33d0b6f47f40436ef179
42,C42-C2-38.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-38.xyz,42,1,OK,2566,f23e5b3d4b11cc0d5016d43f79dc80780fafa326fe8fc0683f886b5402c5d2ab
42,C42-C2-40.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-40.xyz,42,1,OK,2566,da7663b3eece183428cde993c446e71cee74e0a803558d25d43181dd477ed4f4
42,C42-C2-41.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-41.xyz,42,1,OK,2566,0beeb074180343154b33f215414dd6b345c3131c9bf7e342015a455e5de74561
42,C42-C2-43.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-43.xyz,42,1,OK,2566,75c6e44bf7fa2fe39130a1bd1e39b866f5757bea18e50f0e31fff62219803365
42,C42-C2-5.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-5.xyz,42,1,OK,2566,c251f74e235631756803765305e6c0049b7cc82f39192d35cd9c503748b12fa9
42,C42-C2-7.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-7.xyz,42,1,OK,2566,aa424886d1698c5ec3cc00729f200a44932f3cff5edf2cfb898e8ca972c2c9a9
42,C42-C2v-13.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2v-13.xyz,42,1,OK,2566,f03afce0eb9323a2934ff933c1053d8f58f55a11307e2f5fc9f1d3dd064ccc2c
42,C42-C2v-16.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2v-16.xyz,42,1,OK,2566,219336e6a9db048c8ee34a9186f1b1d14fbe85d89fb9fd4735cb60a39522ca62
42,C42-C2v-21.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2v-21.xyz,42,1,OK,2566,fc05363b15ad97bd97d149131489a443f3c3b63d942e8cc10f108f0a89b98320
42,C42-C2v-6.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2v-6.xyz,42,1,OK,2566,76f19e8a7b6fff3bde6954f9e3ec35b2a5bc8abf7deee444d75d84d683a73bfa
42,C42-Cs-11.xyz,https://nanotube.msu.edu/fullerene/C42/C42-Cs-11.xyz,42,1,OK,2566,fd0ca7b7a56db1718caa41f76c61e57b3a61332664e8974c5596abbe341fea3e
42,C42-Cs-12.xyz,https://nanotube.msu.edu/fullerene/C42/C42-Cs-12.xyz,42,1,OK,2566,dfe6e65623cef014077e20c8c4f7760af36fa19c997da8465eeaa2126d8b5e3e
42,C42-Cs-19.xyz,https://nanotube.msu.edu/fullerene/C42/C42-Cs-19.xyz,42,1,OK,2566,b3f91aa831379605b88dfe858e9722091737a3e3a6a690a26573f03caac6f8d1
